sample_id,condition,tissue_type,HLA-DRB1_protein,HLA-DQA1_protein,HLA-DQB1_protein,HLA-DPA1_protein,HLA-DPB1_protein,TNF_protein,IL1B_protein,IL6_protein,IL10_protein,IL17A_protein,IL17F_protein,IL23R_protein,IL2RA_protein,IFNG_protein,IL4_protein,IL13_protein,IL12B_protein,IL18_protein,IL1RN_protein,TNFAIP3_protein,CD40_protein,CD80_protein,CD86_protein,CTLA4_protein,PDCD1_protein,CD28_protein,ICOS_protein,CD19_protein,CD20_protein,CD22_protein,BAFF_protein,APRIL_protein,TACI_protein,BCMA_protein,STAT1_protein,STAT3_protein,STAT4_protein,STAT6_protein,IRF4_protein,IRF5_protein,IRF7_protein,IRF8_protein,NFKB1_protein,NFKB2_protein,REL_protein,RELA_protein,RELB_protein,FOXP3_protein,TBX21_protein,GATA3_protein,C1QA_protein,C1QB_protein,C1QC_protein,C3_protein,C4A_protein,C4B_protein,CFB_protein,CFD_protein,CFH_protein,F2_protein,F3_protein,F5_protein,F7_protein,F8_protein,F10_protein,SERPINE1_protein,PLAT_protein,PLG_protein,MMP1_protein,MMP3_protein,MMP9_protein,MMP13_protein,TIMP1_protein,TIMP2_protein,COL1A1_protein,COL2A1_protein,CCL2_protein,CCL3_protein,CCL4_protein,CCL5_protein,CCL20_protein,CXCL8_protein,CXCL10_protein,CXCL12_protein,CCR1_protein,CCR2_protein,CCR5_protein,CXCR3_protein,CXCR4_protein,CXCR5_protein,BCL2_protein,BAX_protein,FAS_protein,FASLG_protein,CASP3_protein,CASP8_protein,TP53_protein,MDM2_protein,RANKL_protein,OPG_protein,RANK_protein,RUNX2_protein,SOX9_protein,ACAN_protein,COMP_protein,PTPN22_protein,PADI4_protein,FCGR3A_protein,TRAF1_protein,C5_protein,BLK_protein,BANK1_protein,TNIP1_protein,PRKCQ_protein,KIF5A_protein,TAGAP_protein,RASGRP1_protein,AFF3_protein,CD247_protein,SPRED2_protein
SAMPLE_001,RA_patient,synovial_tissue,9.833010508954699,8.54549152980218,7.615144627523501,4.028237286484025,7.7333087811637755,8.988669133090543,11.896748514564582,9.05638146418687,5.411002145319053,9.568994528869911,7.117538148130214,8.94538311796223,5.478271800873023,6.309496416599988,6.326150711353893,4.9076588142006505,6.45968593354564,8.514480363174277,4.6212720429855,6.124855572665388,5.612122297932366,6.630845449278143,4.573309293280784,8.405245386252847,8.395107852273572,5.131857178192528,6.11478758052092,5.510826124185334,7.2345585490552,8.100884599305862,4.107573589954415,7.176272279017986,6.782828828061942,7.282071858670223,7.492446591033236,5.3800699336947195,6.40195105926353,5.43466359399996,9.191338660592391,6.689368261277506,10.52458887075493,6.9771632920888225,6.147318128713697,4.771067344580894,3.8691573901259124,4.826805755331663,7.185723969426894,6.167529840502469,4.930174550372502,9.296109177786615,6.510847136657919,7.698502167831714,9.748595385937925,8.232765979534316,6.936756609515043,5.601072332229115,3.5658190348542784,5.3763465283272565,7.009666194556371,5.235151411771367,7.117339139175643,7.1176214481240025,6.520622338864296,5.593208661261724,7.9033760342646415,7.466590643562098,6.157692681210452,8.707292721139229,9.135531408565273,8.564590154550672,8.492686568240213,6.699550532566745,5.800457925062904,7.559687869306324,5.574407780808361,9.16807368687498,5.4664131302884345,6.840751130880813,6.490134765920426,6.543557659498952,6.523279352132227,4.424871709447239,6.138541772982192,7.7234554686802825,7.555894807347902,5.02499747268779,8.685784225392872,5.268482215099139,8.02237801873423,6.743151831464079,6.501283852360194,10.309126406466897,4.715766453819156,7.834607208646949,8.781337359936325,5.584382146072439,9.725735528340346,6.266558023196729,7.777223393432572,5.695190850616771,6.502379618735936,8.289855551752675,8.015777027513515,4.665472898332519,4.669129939011846,8.644205271808753,8.68974611679144,4.664893706082705,6.578417933828992,5.707421136016118,6.8521109712139,6.437194125037145,8.464662754342573,9.08377488008646,9.448579589208288,6.112959167720594,5.972487970827232,4.385459001594471,5.316861788334017,8.215463529658292
SAMPLE_002,RA_patient,peripheral_blood,9.466640455862425,7.45541991995549,7.753244945282376,5.8900033984202445,8.260153811582295,9.015795051118934,8.972258374783305,9.963573590416972,5.040795999290752,8.065095241489981,6.411089870152146,6.876349931369955,6.518670639816743,6.331664222913256,9.425553014989859,7.862274856224859,5.986487556483475,8.318712349468317,4.150751437656595,9.69890230571038,7.821503493588299,7.349627061261852,8.002425257239848,4.62228379290297,4.923877064775815,5.196826012041151,7.632473218740298,9.187442746133273,10.425462627906343,7.051980574479152,7.347076639050806,3.8690797520465594,7.026164277333088,5.149604206224741,6.2680052783691105,7.545020579491569,6.794570783570053,4.791775363020957,8.95684102566565,5.418976219780661,7.596423085376628,10.208587200259524,5.861307377536217,3.415467236171552,7.429690942805694,8.797329563014198,9.460635265249527,4.568369052568044,8.110451248767756,5.891057261999121,6.409649707793055,11.44193682019567,4.47902636413329,7.173818330413484,7.470804381762873,8.751244594174048,7.698590923267118,7.796393726849948,6.18139525733641,8.072723375357175,6.919924775838668,8.428589932323082,6.925548430982372,7.308356100325059,6.4961790050267325,8.519863897091613,7.418211729549209,3.750513876970548,9.356752733445804,6.506230826705672,5.391304956264312,5.711963721178818,6.936685640886135,3.220751339781164,12.03759688682153,8.059365958434032,6.313422918233272,6.908397228924419,7.4990969684125295,8.739935245928173,8.088839411228186,6.948771657855785,7.249167706524163,6.791196743819555,7.075546988111517,8.026110997760648,8.432369802353328,7.564023201701863,2.823955043940072,8.896633007373689,7.627627315376003,6.800616014373116,6.909652139602106,9.583098024186825,8.036895052162992,5.340340169380193,7.638509998133565,5.693089215211547,7.53648639091654,4.63889757676365,8.49452970188712,9.208136973057423,7.88161758122245,7.890034742405303,5.872595755538266,7.8166947083842295,8.107410111896995,8.059267631460456,8.581945816044376,7.775602427480879,8.024164356584773,8.700213578112054,7.5971207887668895,4.551993276529494,6.495496140008472,5.51230205142611,5.860258963300581,6.2672231414619,5.007734670696906,6.8741850300429865
SAMPLE_003,RA_patient,synovial_tissue,6.748683617855536,8.190740609463631,5.715942261401146,5.8528299929570755,9.303144467552325,9.6353761905652,9.151192989190614,9.270963321646997,4.590089327674603,7.3043041103113975,5.305794614688549,6.236283231990257,8.301032160388887,5.987397647246634,6.309932716323785,8.741497321047856,7.070656500172936,8.398391716894011,3.9287801161981304,7.001736880520185,5.830824722713805,7.135931490461314,5.482062800598194,8.51449078198552,5.2251882907789735,7.431365440284151,6.581227265587366,8.04349855475595,10.41373732057747,5.476702467861689,6.1636570561563095,6.710485206761357,5.00736466361527,8.333812735884354,8.593760664224913,7.735164818313206,6.908216010321086,9.441773868757416,6.172797922356886,7.659805673416379,6.8840032560233615,8.024181360449552,4.765687154200288,7.602071948220255,7.25929621524049,5.16594532791319,5.58016149695478,5.469875284928585,7.6797976330778415,6.29542760611879,5.070437861309476,8.89929329964764,5.458989629825711,6.856320752768639,8.717745836198409,5.470806809056939,8.693655146190935,5.883642384303641,6.838119090832633,8.735115783619037,6.260319669812956,8.107272775374286,5.996924976951296,10.014130385834934,8.323646268280324,5.660752990216998,7.050953591486436,5.92255364536612,9.144122637119708,9.514119810528307,6.3035927107466465,9.284678077287431,5.695283212866997,7.130802882324539,6.480811367901756,5.962829619545044,7.301778793670575,7.68328393181143,2.3497856304640066,6.490133577969246,5.041599735364775,5.789792014134947,4.951933461620407,5.692569464835593,9.060226061850011,6.535671651235549,5.985011291855353,6.972649492210085,6.875893338253575,10.16970428609465,6.902734813945298,6.451606155974197,8.822408212870075,10.396269613096898,6.557643733934683,6.52138440750006,8.389651543750828,8.275991776288473,9.867255139304909,3.883489657326696,9.112372999164565,6.9071716373524135,6.805578171884328,6.563227764480477,5.971650764552733,4.233705577329225,6.2790979146975285,3.643729922147724,6.55933056178076,5.71827470697652,3.0797758540505766,7.412173834799991,2.990804773790776,6.559813679898607,6.044886197685733,8.416608416188593,7.152857798986424,9.813338330583933,7.03705069981624,9.12466507548754
SAMPLE_004,RA_patient,synovial_tissue,5.959799006558032,7.686292789477729,7.064540413529702,8.684069731495693,5.270951328292897,7.000756265879234,10.948491779361078,11.2796613607777,4.460497900735816,9.097750293871476,7.258408566391261,3.4740236950675674,5.022921541284874,6.933553861046416,7.286239933143801,5.377535835535306,6.360568637345,8.917071958454525,6.114755091456337,5.876602792515974,7.1676285452161395,8.530315735433453,7.375886416817614,6.6246137803078575,6.462308745632872,5.523073170997762,5.1387903937640464,8.081235758370726,4.852405233752215,8.050829020419748,9.190108514675678,7.481312420590788,5.973117998400274,4.827666248867468,9.373962248527699,5.344260029938755,7.821318863345666,8.32958783177861,7.048434436710209,6.847474943653391,4.027093034632079,7.924829708844696,8.240419203747388,4.389313538631756,6.871926303219118,8.023371119516966,8.362821488756133,6.080530396562893,4.209959863193083,6.267913963880026,7.245370628324907,8.261174938003904,5.8163954319865,9.663829975129612,4.190457417152614,5.764130926194519,7.168461466788409,6.683532444978653,4.188188786648522,8.362707303149108,7.7743012671473855,6.842960554793338,7.32957256668665,5.750275212790858,4.542746650257961,6.265630261598109,8.108040603501518,7.199779730438169,8.574141499702028,9.754709911602,5.548873669281265,7.112829655048393,5.693966037841423,6.938246372851064,5.603387727111188,7.893170753704525,8.80185972353736,9.26854909145354,8.832879052024806,8.021233756975064,4.799967596815151,6.320568939510525,8.831169884160744,8.19408577286075,6.44130226171505,7.5061702031384065,4.607230823160748,6.043871663668666,5.359943314502856,6.994961729878341,7.3784454827795365,6.505822181222691,6.149651944499513,6.757429738640607,5.531889011641168,5.762434263891933,7.527515281073326,5.120483829127561,6.01148435025098,4.527854721398633,3.979895403152471,7.764309237209683,6.452241913320766,6.396074343173873,8.410619196128831,5.844207681813938,7.685543851808418,4.348504484482593,8.593993530851064,5.3780050068780705,6.025233899412229,6.125063349496227,4.701521639739727,6.647895904225669,6.815643609090412,6.543514006216999,4.296950556350225,9.968841326971745,7.628025649525582,10.960337478081968
SAMPLE_005,RA_patient,synovial_tissue,8.122463574132656,7.44677218005143,8.423478138894112,6.298211351955393,5.90480992147455,4.84764687569605,9.868147261481528,8.458698618469617,5.976986674627055,8.170042655389425,6.051691896670698,8.284249998624864,6.854532077870343,8.216690266545406,9.758489943461962,6.067698225953956,6.310119245974369,7.462885924665407,6.981013561139135,9.162211236680495,5.858359975680333,8.318040307277261,7.735181211175989,8.225492578663912,6.302792563375243,4.747036515191838,7.452149624572818,3.8847783759332835,5.6503825075443865,5.356795361975651,5.323275853769173,5.895194508788114,10.29089919775759,7.92756537817808,5.849474492118253,8.78223816259747,4.97505134344518,4.998264968520502,8.605312008308932,7.325688708778552,6.127552793180775,5.443295100553887,8.800424107736347,4.400061254156374,6.248570370702216,7.2847049333442895,9.781710463274141,6.06151703586615,7.383837030453477,5.41183320423432,7.334938662140185,6.558879000811758,5.2335301433625725,7.32139599220125,8.769639216543998,7.862767118243383,7.5676818692587835,5.354701199520933,3.551712166357216,7.49426834769193,9.250041481951348,8.208247395992919,7.915887127297017,7.144367497857154,7.837694765198168,7.52747389203341,6.549534420579298,8.349505768390534,8.023759227715487,9.09919360920027,4.782101235925037,5.960461732868595,7.417050953583929,8.460147665750027,7.608551712840392,6.844972760629108,3.628681063481503,6.273442373864723,7.0786065541248515,5.955775018441482,6.18485150497573,9.900996181390989,7.034966920735609,7.930504410448294,8.65252231598524,5.942551165449375,7.013840500859324,9.415057506011195,10.244733105692095,7.21526505748915,6.711322982935391,7.703258364619748,7.612958443418357,8.148635125431309,5.7198347404556635,7.169742305817959,5.818625409472644,5.6704325906162785,9.025914886959649,6.111419985220251,5.968657893150367,8.521818238253774,8.859648536406326,10.35392946612879,6.58215560843704,5.187069133730512,5.448701137310544,8.593722137002628,4.67813508153158,9.843522753261514,5.9520164213890405,6.084784651995093,7.4786478204598605,4.662164273075287,8.31856507025486,9.470162503731144,5.5850793441189515,5.587318758655713,6.645475289968291,8.158338243958493
SAMPLE_006,RA_patient,synovial_tissue,6.6963339960185815,7.795212430769723,6.495185701358164,8.293143808455016,8.7520854495474,8.056810915040849,8.66636942318755,10.012162051065758,4.788178435351094,7.648816565684719,6.95610647311707,4.3578513791862985,7.492535799511882,6.553794738036228,6.699165657632001,7.285405535585601,10.41377909022357,8.68914051695039,6.641712389682075,10.030733304330033,7.794178005583281,7.373536145979463,5.150586095079527,7.809545956798991,7.311398342938368,5.956680877272136,9.270286624307937,7.192321596692507,4.549646174979649,9.085949779004647,9.436506322849144,8.212029271078388,4.531037775382025,10.657678805822494,5.731434563302568,8.256074871835937,10.96273808781623,10.597441337683328,5.934548202827266,5.394473892926306,8.754457858777684,7.300095103203175,6.98988466351724,8.727075690896259,6.868225798396251,7.786175158278696,7.618089089080372,6.490497390919758,5.9155191283287625,9.524579219499419,7.5710783357614035,8.393011630866932,5.400758498707854,10.12019754253335,6.989659940954951,8.383781285946602,6.744435111489317,7.118360990490941,6.9948235116537765,3.173438680724816,7.445238877115932,9.779977262972537,7.626520156041622,5.746996148876577,8.312816174653623,7.810923217604497,7.406127809044409,6.502705008871139,8.095405070866082,7.208310897792522,8.613565311364537,4.9195126803660445,5.060981373154674,9.77090139675182,9.710059622747016,5.059833186611116,5.295062433376668,6.646424106318127,8.761038747817535,4.524812660742212,7.78192496393806,6.358800166935552,9.314295056873465,4.423143060277242,7.3006659991406595,6.597487841092323,8.982749395765682,7.573261648142267,6.441857072557224,8.507283875170513,7.1505451298140486,8.501265756749625,6.147163303008052,8.587762656204074,8.0388754583382,10.829977956392224,6.917569504736003,7.907484865370952,8.042074993787216,5.323515950797121,2.345902514174644,7.692417182242739,8.402161212301877,7.931491868998673,6.5448087777135555,2.378049443838001,8.298401757868584,5.856917654117271,7.528268256139529,7.156329893965535,8.755051659337635,6.887320854170007,7.09545939818538,7.842409039702383,9.62075778447961,6.644827393917047,10.092767006647556,4.296530082559561,8.12778204043082,4.484144617023843
SAMPLE_007,RA_patient,peripheral_blood,8.594000895028277,6.368239667854958,7.228252745102944,9.034226276404695,4.984819409062642,9.36051977837387,8.911386426816144,8.006507483508967,5.012593088052567,9.26334904086307,8.841860876130287,6.591183949996405,7.043486950629958,9.193778999829181,4.031628107735235,5.605347427469234,3.4848275798105166,5.25598289329243,4.239834492663247,10.18991722990219,2.3413953961039504,5.950211092543251,7.831598970300914,7.559636108816304,9.493626865275306,6.90486290195834,6.567120717083549,4.126527834410371,5.435568108630034,4.203305550445256,7.729624558335739,7.347723672360006,6.808117841375028,6.408949629336117,6.243378343253667,8.011883151544659,5.403143362274188,5.67129741710089,6.025993093921515,5.770283934854748,5.235593460324733,6.444129384965774,7.5486649697844825,8.873077208135612,7.01058233147805,7.715219126280256,7.733899316003405,5.988694590930837,6.230569699661059,9.102471228804243,5.952929865368641,7.6526224361593345,7.40811831629679,4.9383243820305065,6.417035693660879,6.553981094399833,7.143960155446252,6.847388530530327,8.027774951178285,6.6494850431048995,7.787398397639654,7.901106488332504,5.386536683723012,6.728145187857414,8.16913696415098,9.408831392508798,8.06413901886604,8.931001265831894,7.969440568528834,9.510492812128257,8.794360997384011,7.143735252880676,6.8814243228341745,5.2517858005396025,7.323194726921462,6.867689358055417,8.931456252067424,8.099572602633105,8.858587147359245,6.658745167496219,6.128989613224082,7.1425161008888445,7.555606031985472,4.66020101529495,8.894488807596897,7.4678735264704175,5.846162581078878,2.7537101368621344,7.415832475917107,6.6671652018973235,5.5311556265669815,5.530662640065583,7.3622803248218185,7.050344911464833,8.161627373546844,5.652258209901191,7.925309464694421,8.949764763450652,8.239590586731282,6.493818246472268,7.348772153506536,6.29065390538957,6.74068083039707,6.408979864157952,5.63893407332363,10.054048061814331,9.7136674226322,4.583070995657889,4.589350302908217,6.130764316587777,5.996446078494476,5.961291758437217,7.324255275535852,7.474726901831661,6.668928400409189,8.435078697542627,5.020172923435796,6.8471739147246184,6.309757899105083,8.9821508829767
SAMPLE_008,RA_patient,peripheral_blood,3.5931933895319608,5.673661010461979,6.811590326779567,8.966221369084966,9.079355618506,7.902655826455834,8.93413382455944,8.49594544446163,5.792628865384679,8.923046048836033,7.133058196834413,7.466466481604347,9.121948990175033,8.191295690836098,6.908359031278455,10.0287167456494,8.502077858107313,7.00980945555251,4.26687281009892,4.809051817580497,9.050273442372257,6.048803632759688,5.304068060691829,6.154149990038247,5.390259397330873,7.4888279863482445,7.043180886177948,5.514721517702411,7.189775148873954,7.736291113784797,5.64791002558536,8.554190569607016,6.03956970958486,9.176304922930106,8.142207837752293,8.905486352147578,5.0432368505793495,6.581725906419623,7.585297330132357,4.880045389116294,9.190031585325432,5.741426200449986,7.187574305302128,6.069024494083152,7.971751777467359,4.721369872723741,7.938805963784617,5.976484291858135,7.564795181588882,7.7899542810597415,8.255576382560099,5.168294368926374,9.07706653240237,6.126800713041613,6.938333340007936,7.23509715650666,8.285031322655477,5.537694627327639,7.074454304366364,4.995550176995099,8.423697998982714,9.08262211340924,6.298226454305304,6.0675580158620495,8.844137049612964,6.423577945633969,6.966398835567557,9.122400434976626,7.406773905407875,8.85591280562757,7.07089647525455,5.637468197752671,4.283773755642852,8.26989278283353,6.313148933282775,9.10991482099988,8.503917029550047,4.596376553555277,8.931216960002466,9.849531818537967,7.962343142621966,8.263991764299439,9.712822123242857,8.54920849800807,8.437157740465945,9.403462155570043,8.8411470284858,10.600841501939032,6.061591672215902,5.695870488288518,6.483099982262979,7.981247985464439,7.721708195428009,6.322905583507771,7.695243666037172,4.5284247003236935,7.111413382430869,8.951561761921273,9.429319855482817,5.414151321937236,9.12828929946102,6.719339473330313,6.31343830313733,8.084113915379731,7.274083032959458,6.883617341127309,7.55928930901219,4.4714003795175135,8.790294633084386,8.523736341427943,4.543752040982315,7.6889667475940655,7.252385524072304,5.061788963954536,5.088201982868627,7.346927713913636,6.615251935175875,10.134169413038931,7.664394773674789,7.585214417879919
SAMPLE_009,RA_patient,synovial_tissue,7.309656184105464,8.453717609998806,7.485376320048683,6.928304916646352,5.270045235693488,13.487594381996818,7.3036947832855,9.11504834518882,4.290126814391703,8.591197218163966,6.297810180211352,8.454156762696048,3.446381921540839,7.946458549948225,5.454232702946804,6.633995480078764,8.698095566804916,6.8847909376780905,6.490798419771307,7.440718938958032,7.457216489874352,6.903415625809374,7.191843132246395,5.840305043589269,7.0106379305722655,8.332898902692296,7.572203564920729,6.945344961897002,9.856321782544832,7.464501405646924,7.780121973390535,6.509673391440236,7.970674026897132,6.94036576595217,5.868275516376553,7.189936344483359,6.169719416214884,5.995549488634985,4.017318852842416,7.2363703298623125,5.022320238415699,6.826880873758092,6.226977019683626,8.58289486142637,6.03966398365158,6.326620664288734,5.981360633519926,5.078030201420479,9.382907909035454,4.955597359501005,6.882613390721852,7.856926018911434,8.113622377273733,5.751243151916556,4.415971021240577,7.757149792567511,9.155742268298535,7.743972699847243,6.771959211743224,5.381578196241164,5.195762110776112,6.583855037114434,5.08032437314711,8.372740031601836,5.582959341912818,6.956647000854251,5.197823841598625,6.098992776268731,6.511289404617802,5.135964024443342,7.937339363240989,8.18948071748647,6.374311857994292,7.5382012840140735,6.350192464208588,4.925795521735998,9.008150441744114,7.512992256219669,5.794358291339175,6.0740979105430215,9.220882841749644,7.314199861128326,1.1833819411870323,5.1752965700991505,6.434838399659722,8.77825760054404,6.772800161518857,8.649862467909573,6.299338350109964,3.4982670104860323,5.937029169752961,8.406070353215725,7.729354367854905,5.647639877403831,6.300519788454785,11.066691090921253,5.413443811288031,8.593938828137292,5.907670641156118,6.60232549642436,6.016860331711731,8.070587179121032,4.9618960772384035,8.077140970062493,5.362683654128874,7.903309261300096,6.581566812059528,7.453098506725144,6.492596074054145,6.8867649920264205,7.218105370109487,6.452502280061731,4.727901336572523,6.767538112816192,8.983646358340918,7.821143587815449,5.813174240266122,7.5837537950891605,7.765195637046836,7.430233019569473
SAMPLE_010,RA_patient,synovial_fluid,4.911518798480833,8.748653455334669,7.578702714324719,8.582313292089793,10.166520622247665,9.088642253577152,9.524218814569188,8.867887034272524,5.476600755693588,6.219599820801427,6.904814282708605,5.610331355815759,5.867655650881854,8.460446408545797,7.3526895685364035,7.828954765466255,9.545806320037444,8.367181662602027,7.358683574968574,6.742144290628684,9.072851536105121,7.980122523355583,7.31357062933143,9.276936421799217,5.345015568539006,9.831055744139235,6.720202326387061,5.022288281941258,7.549279834873141,6.008856552413549,9.720044878592233,6.181176963292433,7.33341569443163,5.645798404406679,8.681458542168064,5.98237478966671,8.971183019600794,6.299710721803594,4.167340103772716,7.361191962036956,7.365915534393859,7.9473963757604285,9.18178206938117,9.4628481542254,8.500060121258239,7.419592497890475,3.9179152011870366,5.958797035421453,7.43077848200822,7.554153357762439,8.41295819832613,9.23927693824793,5.207973647199388,6.308135628491344,6.693613786080813,5.731197621266904,3.3654117291762398,6.16179602110457,5.009231656804349,8.751566247503588,9.714758942946244,6.287999715231696,7.706192339852026,8.302558276862138,5.245921323237083,7.1019111552035294,10.384662220787815,6.921534153452218,8.873781382151154,7.947140333916187,4.23933649170057,7.462623890643148,7.787688684441054,5.487786185476075,4.177958284046551,5.781451374248718,8.88706845856057,6.680753317722525,5.456027303425059,7.329369963151667,7.160990624008298,4.5113005404467215,6.949564281746521,6.351094243591035,5.4406784967291975,5.216843181234006,8.784591661539984,6.227977083975216,4.223104890442742,8.31911667155047,8.585798691203014,5.7475827322431225,5.958532468564481,5.686354411912548,6.250128551972539,7.860704220731212,6.220863288954366,8.588270920473144,8.104790840991107,5.1439258296755375,8.079709844563975,4.089348659394685,9.370135999850438,5.388162602481784,9.356518272194522,6.325108579429159,7.223200260680892,7.497183852906341,7.547619636356991,7.121697050406495,6.666712643242654,4.907284399758312,7.183976815073903,5.274152515027165,7.569146485987433,8.505516519606509,4.519702956610548,9.260271082173002,6.249035125180299,6.694024924625261
